From Win10 22H2.
api-ms-win-winrt-search-folder-l1-1-0 -> windows.storage.search.dll
api-ms-win-wsl-api-l1-1-0 -> wslapi.dll
ext-ms-mf-pal-l2-1-0 -> 
ext-ms-net-eap-sim-l1-1-0 -> eapsimextdesktop.dll
ext-ms-net-vpn-soh-l1-1-0 -> vpnsohdesktop.dll
ext-ms-onecore-appchromeapi-l1-1-0 -> 
ext-ms-onecore-appdefaults-l1-1-0 -> windows.storage.dll
ext-ms-onecore-appmodel-emclient-l1-1-0 -> 
ext-ms-onecore-appmodel-emsvcs-l1-1-0 -> 
ext-ms-onecore-appmodel-pacmanclient-l1-1-0 -> 
ext-ms-onecore-appmodel-plm-l1-1-1 -> execmodelclient.dll
ext-ms-onecore-appmodel-staterepository-cache-l1-1-1 -> windows.staterepositorycore.dll
ext-ms-onecore-appmodel-staterepository-internal-l1-1-2 -> windows.staterepositoryclient.dll
ext-ms-onecore-appmodel-tdlmigration-l1-1-1 -> tdlmigration.dll
ext-ms-onecore-comp-dwmmonitor-l1-1-0 -> 
ext-ms-onecore-dcomp-l1-1-0 -> dcomp.dll
ext-ms-onecore-defaultdiscovery-l1-1-0 -> 
ext-ms-onecore-hcap-svf-l1-1-0 -> svf.dll
ext-ms-onecore-hlink-l1-1-0 -> hlink.dll
ext-ms-onecore-hnetcfg-l1-1-0 -> hnetcfgclient.dll
ext-ms-onecore-ipnathlp-l1-1-0 -> ipnathlpclient.dll
ext-ms-onecore-mpc-input-l1-1-0 -> hologramcompositor.dll
ext-ms-onecore-orientation-l1-1-0 -> 
ext-ms-onecore-security-antitheft-l1-1-0 -> 
ext-ms-onecore-service-devicedirectory-antitheft-l1-1-0 -> ddcantitheftapi.dll
ext-ms-onecore-service-devicedirectory-claims-l1-1-0 -> ddcclaimsapi.dll
ext-ms-onecore-shellchromeapi-l1-1-2 -> 
ext-ms-onecore-shellremindersapi-l1-1-0 -> 
ext-ms-onecore-shlwapi-l1-1-0 -> shlwapi.dll
ext-ms-onecore-spectrumsyncclient-l1-1-0 -> spectrumsyncclient.dll
ext-ms-win-adsi-activeds-l1-1-0 -> activeds.dll
ext-ms-win-advapi32-auth-l1-1-0 -> advapi32.dll
ext-ms-win-advapi32-encryptedfile-l1-1-1 -> advapi32.dll
ext-ms-win-advapi32-eventlog-ansi-l1-1-0 -> advapi32.dll
ext-ms-win-advapi32-eventlog-l1-1-1 -> advapi32.dll
ext-ms-win-advapi32-hwprof-l1-1-0 -> advapi32.dll
ext-ms-win-advapi32-idletask-l1-1-0 -> advapi32.dll
ext-ms-win-advapi32-lsa-l1-1-2 -> advapi32.dll
ext-ms-win-advapi32-msi-l1-1-0 -> advapi32.dll
ext-ms-win-advapi32-npusername-l1-1-0 -> advapi32.dll
ext-ms-win-advapi32-ntmarta-l1-1-0 -> advapi32.dll
ext-ms-win-advapi32-psm-app-l1-1-0 -> twinapi.appcore.dll
ext-ms-win-advapi32-registry-l1-1-1 -> advapi32.dll
ext-ms-win-advapi32-safer-l1-1-0 -> advapi32.dll
ext-ms-win-advapi32-shutdown-l1-1-0 -> advapi32.dll
ext-ms-win-appcompat-aeinv-l1-1-0 -> aeinv.dll
ext-ms-win-appcompat-aepic-l1-1-0 -> aepic.dll
ext-ms-win-appcompat-apphelp-l1-1-1 -> apphelp.dll
ext-ms-win-appcompat-pcacli-l1-1-0 -> pcacli.dll
ext-ms-win-appmodel-activation-l1-1-0 -> activationmanager.dll
ext-ms-win-appmodel-appcontainerpath-l1-1-0 -> 
ext-ms-win-appmodel-appexecutionalias-l1-1-1 -> apisethost.appexecutionalias.dll
ext-ms-win-appmodel-datasharingservice-extensions-l1-1-0 -> 
ext-ms-win-appmodel-daxcore-l1-1-3 -> daxexec.dll
ext-ms-win-appmodel-deployment-l1-1-1 -> 
ext-ms-win-appmodel-deploymentvolumes-l1-1-1 -> 
ext-ms-win-appmodel-opc-l1-1-0 -> opcservices.dll
ext-ms-win-appmodel-restrictedappcontainer-internal-l1-1-0 -> kernel.appcore.dll
ext-ms-win-appmodel-state-ext-l1-2-0 -> kernel.appcore.dll
ext-ms-win-appmodel-usercontext-l1-1-0 -> 
ext-ms-win-appmodel-viewscalefactor-l1-1-0 -> 
ext-ms-win-appxdeploymentclient-appxdeploy-l1-1-1 -> appxdeploymentclient.dll
ext-ms-win-appxdeploymentclient-appxdeployonecore-l1-1-1 -> appxdeploymentclient.dll
ext-ms-win-audiocore-coreaudiopolicymanager-l1-1-0 -> coreaudiopolicymanagerext.dll
ext-ms-win-audiocore-pal-l1-2-0 -> 
ext-ms-win-audiocore-policymanager-l1-1-0 -> 
ext-ms-win-audiocore-spatial-l1-1-0 -> 
ext-ms-win-authz-claimpolicies-l1-1-0 -> authz.dll
ext-ms-win-authz-context-l1-1-0 -> authz.dll
ext-ms-win-authz-remote-l1-1-0 -> logoncli.dll
ext-ms-win-base-psapi-l1-1-0 -> psapi.dll
ext-ms-win-base-rstrtmgr-l1-1-0 -> rstrtmgr.dll
ext-ms-win-biometrics-winbio-core-l1-1-3 -> winbio.dll
ext-ms-win-biometrics-winbio-l1-1-0 -> winbio.dll
ext-ms-win-biometrics-winbio-l1-2-0 -> winbioext.dll
ext-ms-win-biometrics-winbio-l1-3-0 -> winbioext.dll
ext-ms-win-bluetooth-apis-l1-1-0 -> bluetoothapis.dll
ext-ms-win-bluetooth-apis-private-l1-1-0 -> bluetoothapis.dll
ext-ms-win-branding-winbrand-l1-1-2 -> winbrand.dll
ext-ms-win-branding-winbrand-l1-2-0 -> winbrand.dll
ext-ms-win-casting-device-l1-1-0 -> 
ext-ms-win-casting-lockscreen-l1-1-0 -> castingshellext.dll
ext-ms-win-casting-receiver-l1-1-1 -> 
ext-ms-win-casting-shell-l1-1-0 -> castingshellext.dll
